#Life 1.06
#N cycle_length_3
#R B3/S23
5 3
6 3
12 3
13 3
6 4
7 4
11 4
12 4
3 5
6 5
8 5
10 5
12 5
15 5
3 6
4 6
5 6
7 6
8 6
10 6
11 6
13 6
14 6
15 6
4 7
6 7
8 7
10 7
12 7
14 7
5 8
6 8
7 8
11 8
12 8
13 8
5 10
6 10
7 10
11 10
12 10
13 10
4 11
6 11
8 11
10 11
12 11
14 11
3 12
4 12
5 12
7 12
8 12
10 12
11 12
13 12
14 12
15 12
3 13
6 13
8 13
10 13
12 13
15 13
6 14
7 14
11 14
12 14
5 15
6 15
12 15
13 15
